Arrow,http://en.wikipedia.org/wiki/List_of_Arrow_episodes
Flash,https://en.wikipedia.org/wiki/List_of_The_Flash_(2014_TV_series)_episodes
Legends of Tomorrow,https://en.wikipedia.org/wiki/List_of_Legends_of_Tomorrow_episodes
How to Get Away with Murder,https://en.wikipedia.org/wiki/List_of_How_to_Get_Away_with_Murder_episodes
Outlander,https://en.wikipedia.org/wiki/List_of_Outlander_episodes
Brooklyn Nine-Nine,https://en.wikipedia.org/wiki/List_of_Brooklyn_Nine-Nine_episodes
The Witcher,https://en.wikipedia.org/wiki/The_Witcher_(TV_series)
You,https://en.wikipedia.org/wiki/You_(TV_series)
Altered Carbon,https://en.wikipedia.org/wiki/Altered_Carbon_(TV_series)
